model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
DeltaNet-1.3B,-1,int8_layer_affine,6400,0.0791674527771029,0.014695405960083008,0.1916884481906891,0.9820134043693542,4.781065464019775,0.94140625,0.03197239526229769
DeltaNet-1.3B,-1,svd1,6400,2.660600687531146,1.8942852020263672,6.093080997467041,10.671746253967285,23.26386833190918,0.40546875,0.48228480060895323
DeltaNet-1.3B,-1,svd16,6400,0.3030434284677455,0.091986283659935,0.7989962100982666,2.856224775314331,17.91729164123535,0.86296875,0.09083527376176771
DeltaNet-1.3B,-1,svd2,6400,1.8990498774659972,1.2654014825820923,4.639670372009277,8.419241905212402,13.695172309875488,0.50921875,0.3323224915688244
DeltaNet-1.3B,-1,svd32,6400,0.07631941868078726,0.015601860359311104,0.1773802638053894,0.840706467628479,14.163463592529297,0.94125,0.04239223230222703
DeltaNet-1.3B,-1,svd4,6400,1.2478262885954883,0.6790370345115662,3.216151475906372,6.773115158081055,13.300490379333496,0.6184375,0.2267170350005227
DeltaNet-1.3B,-1,svd8,6400,0.7071933542805958,0.30649271607398987,1.9345391988754272,4.78919792175293,15.317447662353516,0.74515625,0.15125406065645325
DeltaNet-1.3B,256,int8_layer_affine,6400,0.36664246033976994,0.0976782739162445,1.1153998374938965,3.304945468902588,7.4056315422058105,0.84859375,0.02189526441076845
DeltaNet-1.3B,256,svd1,6400,2.684507210283223,1.960768461227417,6.2564849853515625,10.09488296508789,14.698742866516113,0.38890625,0.22572245396363272
DeltaNet-1.3B,256,svd16,6400,0.08308051277199419,0.010896489024162292,0.18070510029792786,1.164613962173462,5.906088829040527,0.95203125,0.00849967265409459
DeltaNet-1.3B,256,svd2,6400,1.8300927382443848,1.1518934965133667,4.534245491027832,8.717934608459473,13.026589393615723,0.495625,0.11640363177439836
DeltaNet-1.3B,256,svd32,6400,0.0056191136657922315,0.0008584498427808285,0.010126715525984764,0.0799645185470581,0.8120680451393127,0.98875,0.002474551717326301
DeltaNet-1.3B,256,svd4,6400,0.8347970301829739,0.3727271556854248,2.3363490104675293,5.275261402130127,10.363286972045898,0.6965625,0.05100774496677332
DeltaNet-1.3B,256,svd8,6400,0.30544512702531873,0.0793728157877922,0.8785746097564697,2.8758010864257812,9.763267517089844,0.8615625,0.02131205930316354
