model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
Qwen3.5-4B,-1,int8_head_affine,4,0.011671621963614598,0.007427412085235119,0.01949784718453884,0.01949784718453884,0.01949784718453884,1.0,0.004921995304660716
Qwen3.5-4B,256,int8_head_affine,4,0.002156761387595907,0.0011343181831762195,0.0035867253318428993,0.0035867253318428993,0.0035867253318428993,1.0,0.004982583872333634
