model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
Nemotron-3-Nano-4B,-1,int8_layer_affine,4,0.5009558612946421,0.33822256326675415,1.003242015838623,1.003242015838623,1.003242015838623,0.75,0.5755931612636361
Nemotron-3-Nano-4B,-1,svd16,4,0.000849625746923266,0.0009656520560383797,0.0013402518816292286,0.0013402518816292286,0.0013402518816292286,1.0,0.0003859889176156786
Nemotron-3-Nano-4B,256,int8_layer_affine,4,0.9329787380993366,0.21066497266292572,2.924076795578003,2.924076795578003,2.924076795578003,0.75,0.5921549541609628
Nemotron-3-Nano-4B,256,svd16,4,0.0008091856711871515,4.3051237298641354e-05,0.0024332869797945023,0.0024332869797945023,0.0024332869797945023,1.0,0.00036139395235786363
