model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
GatedDeltaNet-1.3B,-1,int8_layer_affine,4,0.010191024281084538,0.009259030222892761,0.01859436184167862,0.01859436184167862,0.01859436184167862,0.75,0.08650889298102508
GatedDeltaNet-1.3B,-1,svd16,4,0.14291259087622166,0.07105115801095963,0.23751653730869293,0.23751653730869293,0.23751653730869293,0.75,0.07422839353481929
GatedDeltaNet-1.3B,256,int8_layer_affine,4,0.007359814248047769,0.006195822264999151,0.011400701478123665,0.011400701478123665,0.011400701478123665,1.0,0.07423711864976212
GatedDeltaNet-1.3B,256,svd16,4,0.012937504332512617,0.004850625991821289,0.02725551836192608,0.02725551836192608,0.02725551836192608,1.0,0.047635601212580994
