model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
Qwen3.5-4B,-1,int8_layer_affine,4,0.0664090197533369,0.038255468010902405,0.1674468219280243,0.1674468219280243,0.1674468219280243,0.75,0.10014116756307583
Qwen3.5-4B,-1,svd16,4,0.009036063158418983,0.005704834125936031,0.015582027845084667,0.015582027845084667,0.015582027845084667,1.0,0.010481547564268112
Qwen3.5-4B,256,int8_layer_affine,4,0.021608973314869218,0.014967327006161213,0.05140457674860954,0.05140457674860954,0.05140457674860954,1.0,0.09152892635514338
Qwen3.5-4B,256,svd16,4,0.0012937255232827738,0.0009805763838812709,0.00254823244176805,0.00254823244176805,0.00254823244176805,1.0,0.005819355913748344
