model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
Nemotron-3-Nano-4B,-1,int8_layer_affine,4,0.5032786492956802,0.3271266222000122,1.020711898803711,1.020711898803711,1.020711898803711,0.75,0.5755877673980736
Nemotron-3-Nano-4B,-1,svd1,4,0.07800423649314325,0.05309485271573067,0.16428229212760925,0.16428229212760925,0.16428229212760925,1.0,0.0362148540360587
Nemotron-3-Nano-4B,-1,svd16,4,0.001284285609926883,0.0012170306872576475,0.0021651973947882652,0.0021651973947882652,0.0021651973947882652,1.0,0.0003859994947792046
Nemotron-3-Nano-4B,-1,svd2,4,0.023035585769321187,0.022114895284175873,0.04717058688402176,0.04717058688402176,0.04717058688402176,1.0,0.014211546807062058
Nemotron-3-Nano-4B,-1,svd32,4,0.0007897989376033365,0.00034508761018514633,0.0019348238129168749,0.0019348238129168749,0.0019348238129168749,1.0,7.035790403033532e-05
Nemotron-3-Nano-4B,-1,svd4,4,0.008958722233046501,0.004015584476292133,0.019945796579122543,0.019945796579122543,0.019945796579122543,1.0,0.005071978365618086
Nemotron-3-Nano-4B,-1,svd8,4,0.003285380989382247,0.0014041145332157612,0.009823566302657127,0.009823566302657127,0.009823566302657127,1.0,0.0015485401132277082
Nemotron-3-Nano-4B,256,int8_layer_affine,4,0.9329787380993366,0.21066497266292572,2.924076795578003,2.924076795578003,2.924076795578003,0.75,0.5921549541609628
Nemotron-3-Nano-4B,256,svd1,4,0.01891019189861254,0.01172808837145567,0.04702131450176239,0.04702131450176239,0.04702131450176239,1.0,0.03796964126919944
Nemotron-3-Nano-4B,256,svd16,4,0.0008855198962010036,4.3051237298641354e-05,0.0019716937094926834,0.0019716937094926834,0.0019716937094926834,1.0,0.00036138506783615974
Nemotron-3-Nano-4B,256,svd2,4,0.010488998311075193,0.0007632795022800565,0.030168624594807625,0.030168624594807625,0.030168624594807625,1.0,0.014675732169832503
Nemotron-3-Nano-4B,256,svd32,4,0.0008551787960868751,2.25712574319914e-06,0.0019822604954242706,0.0019822604954242706,0.0019822604954242706,1.0,5.171243249187394e-05
Nemotron-3-Nano-4B,256,svd4,4,0.003142121485325333,4.290306242182851e-05,0.009106647223234177,0.009106647223234177,0.009106647223234177,1.0,0.00535895616289169
Nemotron-3-Nano-4B,256,svd8,4,0.001040727308463829,4.1085571865551174e-05,0.0027216672897338867,0.0027216672897338867,0.0027216672897338867,1.0,0.0015988530561564462
