model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
DeltaNet-1.3B,-1,int8_layer_affine,4,0.08157394690397268,0.0027286834083497524,0.3195490837097168,0.3195490837097168,0.3195490837097168,0.75,0.032816543263227985
DeltaNet-1.3B,-1,svd16,4,0.14516292460029945,0.005129680968821049,0.5208736658096313,0.5208736658096313,0.5208736658096313,0.75,0.08508216465512912
DeltaNet-1.3B,256,int8_layer_affine,4,0.09439160558395088,0.03209204226732254,0.17088466882705688,0.17088466882705688,0.17088466882705688,0.75,0.021051325762527995
DeltaNet-1.3B,256,svd16,4,0.007395996013656259,0.0055227503180503845,0.012832751497626305,0.012832751497626305,0.012832751497626305,1.0,0.0072012527380138636
