model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
DeltaNet-1.3B,-1,int8_head_affine,4,0.023699259595758804,0.0009483644971624017,0.09226177632808685,0.09226177632808685,0.09226177632808685,1.0,0.006452915566721155
DeltaNet-1.3B,256,int8_head_affine,4,0.01338479047990404,0.00535538187250495,0.02853860706090927,0.02853860706090927,0.02853860706090927,1.0,0.006832841892901343
