model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
Mamba2-1.3B,-1,int8_layer_affine,6400,1.0052101540101919,0.46654582023620605,2.6401848793029785,7.51725959777832,22.226289749145508,0.69671875,0.3273578101303437
Mamba2-1.3B,-1,svd1,6400,0.6658493509447723,0.2723698914051056,1.8444637060165405,4.58800745010376,13.380377769470215,0.75625,0.08720696997945207
Mamba2-1.3B,-1,svd16,6400,0.017862853899850702,0.003462088294327259,0.03335322439670563,0.263875812292099,3.728728771209717,0.96890625,0.002341996241836268
Mamba2-1.3B,-1,svd2,6400,0.3229734372896091,0.08598536998033524,0.9255698919296265,2.9485621452331543,8.829632759094238,0.85734375,0.04061291392155293
Mamba2-1.3B,-1,svd32,6400,0.005611478563589726,0.0013848445378243923,0.010969363152980804,0.06884312629699707,0.5542700886726379,0.98125,0.00047997133505911336
Mamba2-1.3B,-1,svd4,6400,0.15075198393397132,0.028148861601948738,0.38065192103385925,1.866406798362732,8.050880432128906,0.90953125,0.017453125934310577
Mamba2-1.3B,-1,svd8,6400,0.055128300749220344,0.008831477724015713,0.11800860613584518,0.8050937652587891,4.239448070526123,0.94484375,0.006983752667826259
Mamba2-1.3B,256,int8_layer_affine,6400,0.4290349750432829,0.022620193660259247,0.7372766733169556,8.233471870422363,26.87514305114746,0.873125,0.27001339172216776
Mamba2-1.3B,256,svd1,6400,0.667240755609295,0.15256157517433167,1.982118844985962,6.075299263000488,12.217052459716797,0.7515625,0.1385552220131891
Mamba2-1.3B,256,svd16,6400,0.005056883410704493,0.0006819323170930147,0.008586011826992035,0.06793400645256042,1.8451220989227295,0.98390625,0.0028383092606721616
Mamba2-1.3B,256,svd2,6400,0.3956256543293249,0.06713952124118805,1.1353998184204102,4.201269149780273,10.030180931091309,0.8325,0.06868355739628901
Mamba2-1.3B,256,svd32,6400,0.0012213374493808592,0.0001870826818048954,0.0025654826313257217,0.012750066816806793,0.7089751958847046,0.9921875,0.0004272199140208016
Mamba2-1.3B,256,svd4,6400,0.1794981167730684,0.019170105457305908,0.43263161182403564,2.7483553886413574,9.838366508483887,0.90828125,0.029097268874756964
Mamba2-1.3B,256,svd8,6400,0.04161962587379315,0.003768344409763813,0.06260618567466736,0.7922674417495728,8.549428939819336,0.961875,0.010440884395793533
