model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
Nemotron-3-Nano-4B,-1,int8_layer_affine,4,0.5127826483221725,0.28468057513237,0.9874122142791748,0.9874122142791748,0.9874122142791748,1.0,0.5755909605040437
Nemotron-3-Nano-4B,-1,svd16,4,0.0007037500147362152,0.0005332143045961857,0.0017237183637917042,0.0017237183637917042,0.0017237183637917042,1.0,0.0003860693883209947
Nemotron-3-Nano-4B,256,int8_layer_affine,4,0.8777771480381489,0.19455541670322418,2.8923561573028564,2.8923561573028564,2.8923561573028564,0.75,0.5921728600348746
Nemotron-3-Nano-4B,256,svd16,4,0.0002727445998971234,0.0002369917929172516,0.0005047572776675224,0.0005047572776675224,0.0005047572776675224,1.0,0.0003613503428087348
