model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
GatedDeltaNet-1.3B,-1,int8_layer_affine,4,0.010191024281084538,0.009259030222892761,0.01859436184167862,0.01859436184167862,0.01859436184167862,0.75,0.08650889298102508
GatedDeltaNet-1.3B,-1,svd1,4,1.243229303508997,1.2248330116271973,2.319913864135742,2.319913864135742,2.319913864135742,0.75,0.4320316910743714
GatedDeltaNet-1.3B,-1,svd16,4,0.14056954346597195,0.06415059417486191,0.23751653730869293,0.23751653730869293,0.23751653730869293,0.75,0.07424682999650636
GatedDeltaNet-1.3B,-1,svd2,4,0.9242481552064419,0.8168871402740479,1.649693489074707,1.649693489074707,1.649693489074707,0.5,0.30437235037485755
GatedDeltaNet-1.3B,-1,svd32,4,0.050369579112157226,0.029998039826750755,0.09287793934345245,0.09287793934345245,0.09287793934345245,1.0,0.037287568052609764
GatedDeltaNet-1.3B,-1,svd4,4,0.6709496080875397,0.43287962675094604,1.2807583808898926,1.2807583808898926,1.2807583808898926,0.5,0.20468533039093018
GatedDeltaNet-1.3B,-1,svd8,4,0.32197413966059685,0.19982880353927612,0.626407265663147,0.626407265663147,0.626407265663147,0.25,0.13054434458414713
GatedDeltaNet-1.3B,256,int8_layer_affine,4,0.007359814248047769,0.006195822264999151,0.011400701478123665,0.011400701478123665,0.011400701478123665,1.0,0.07423711864976212
GatedDeltaNet-1.3B,256,svd1,4,1.3128808811306953,0.2251400351524353,4.572996139526367,4.572996139526367,4.572996139526367,0.75,0.41024498144785565
GatedDeltaNet-1.3B,256,svd16,4,0.012973989127203822,0.004850625991821289,0.027038320899009705,0.027038320899009705,0.027038320899009705,1.0,0.04763513058423996
GatedDeltaNet-1.3B,256,svd2,4,0.5424147741869092,0.11393489688634872,1.8319634199142456,1.8319634199142456,1.8319634199142456,0.75,0.28220103184382117
GatedDeltaNet-1.3B,256,svd32,4,0.0028943867655470967,0.002322690561413765,0.005628816783428192,0.005628816783428192,0.005628816783428192,1.0,0.01822893973439932
GatedDeltaNet-1.3B,256,svd4,4,0.16066196328029037,0.026674317196011543,0.5451501607894897,0.5451501607894897,0.5451501607894897,1.0,0.17848308881123862
GatedDeltaNet-1.3B,256,svd8,4,0.02927312650717795,0.01150463242083788,0.07101845741271973,0.07101845741271973,0.07101845741271973,1.0,0.10038408388694127
